기준연도,자치구명,행정동명,행정동코드,IVI,CDI,RII,CCI,CCI_rank,CCI_grade,IVI_top30_flag,CDI_top30_flag,RII_top30_flag,triple_high_flag,risk_type
2021,종로구,사직동,1101053,0.4434581107649137,0.4282733291164727,0.418280985395237,0.4308499214734166,240,3,1,0,1,0,사회고립+수해취약형
2021,종로구,삼청동,1101054,0.5581404582754239,0.5968627397685626,0.1229752486516822,0.41551320528039903,284,2,1,0,0,0,사회고립 단일취약형
2021,종로구,부암동,1101055,0.4089046551024951,0.8472340031463208,0.2318930088838097,0.45653291593691164,185,3,0,1,0,0,인프라 단일취약형
2021,종로구,평창동,1101056,0.3942422279779305,0.8336145322765612,0.1397996682434415,0.41503040814551706,286,2,0,1,0,0,인프라 단일취약형
2021,종로구,무악동,1101057,0.3603253632117046,0.7914332059399056,0.0242064534655718,0.3504607054826084,372,1,0,1,0,0,인프라 단일취약형
2021,종로구,교남동,1101058,0.3735058521014387,0.6744472465646782,0.2572866431097447,0.4080644775701557,306,2,0,0,0,0,상대적 저위험지역
2021,종로구,가회동,1101060,0.49442921424689246,0.6620986732310177,0.3230668210231187,0.4763697413646029,140,4,1,0,0,0,사회고립 단일취약형
2021,종로구,종로1·2·3·4가동,1101061,0.8075229050266126,0.1907569567714695,0.3261855648871716,0.4848633489140225,119,4,1,0,0,0,사회고립 단일취약형
2021,종로구,종로5·6가동,1101063,0.577115420947105,0.3623069302472718,0.4289208972953516,0.471545214994033,151,4,1,0,1,0,사회고립+수해취약형
2021,종로구,이화동,1101064,0.4586835052020676,0.5687873001971094,0.3511091920529653,0.4485584443486422,196,3,1,0,0,0,사회고립 단일취약형
2021,종로구,창신1동,1101067,0.6844829841402311,0.4633049700478002,0.3511091920529653,0.5125076533865803,61,5,1,0,0,0,사회고립 단일취약형
2021,종로구,창신2동,1101068,0.5099356114883042,0.7428986527185252,0.3153949063386796,0.5000871249934908,78,5,1,0,0,0,사회고립 단일취약형
2021,종로구,창신3동,1101069,0.4006368623262122,0.9206966006583618,0.273728239672013,0.48623377898027986,115,4,0,1,0,0,인프라 단일취약형
2021,종로구,숭인1동,1101070,0.4993508215225688,0.7327699770026987,0.3153949063386796,0.49332104007824007,100,4,1,0,0,0,사회고립 단일취약형
2021,종로구,숭인2동,1101071,0.4941053198373314,0.6330698243687969,0.3511091920529653,0.4787978012456696,133,4,1,0,0,0,사회고립 단일취약형
2021,종로구,청운효자동,1101072,0.399484344728413,0.7656995850088933,0.3686279731686099,0.48023842475260203,131,4,0,0,0,0,상대적 저위험지역
2021,종로구,혜화동,1101073,0.3432853281233426,0.6058401265582267,0.3897996682434416,0.4252040467740983,256,2,0,0,1,0,수해 단일취약형
2021,중구,소공동,1102052,0.2311757698711715,0.0431510410423977,0.3511091920529653,0.2261462854276059,425,1,0,0,0,0,상대적 저위험지역
2021,중구,회현동,1102054,0.7038449963813644,0.3178451148784087,0.3153949063386796,0.47138749449068584,153,4,1,0,0,0,사회고립 단일취약형
2021,중구,명동,1102055,0.49037833969976685,0.0943158997172484,0.3897996682434416,0.3561601946944234,368,1,1,0,1,0,사회고립+수해취약형
2021,중구,필동,1102057,0.5541552930921478,0.4501425583397553,0.3109310364679517,0.44302361958558106,208,3,1,0,0,0,사회고립 단일취약형
2021,중구,장충동,1102058,0.4238439061526289,0.6906842192274116,0.3830775279411831,0.47628575204731854,141,4,0,0,1,0,수해 단일취약형
2021,중구,광희동,1102059,0.5215884634450383,0.3510523025535246,0.523728239672013,0.47970334490160094,132,4,1,0,1,0,사회고립+수해취약형
2021,중구,을지로동,1102060,0.8161665637071287,0.1847370767408096,0.3511091920529653,0.4955391118865917,89,4,1,0,0,0,사회고립 단일취약형
2021,중구,신당5동,1102065,0.4495249293261607,0.6820355346900484,0.3511091920529653,0.4732070726215143,146,4,1,0,0,0,사회고립 단일취약형
2021,중구,황학동,1102067,0.407149374388144,0.5804005786407374,0.4996210968148702,0.48282727830064653,123,4,0,0,1,0,수해 단일취약형
2021,중구,중림동,1102068,0.4178916580864016,0.7298930757545354,0.273728239672013,0.445434816058399,202,3,0,0,0,0,상대적 저위험지역
2021,중구,신당동,1102069,0.4784307292432054,0.4975944066150015,0.4314663349101082,0.46678411056957037,162,4,1,0,1,0,사회고립+수해취약형
2021,중구,다산동,1102070,0.44930691847470294,0.6798734770183377,0.2532012565287905,0.43831157642954227,223,3,1,0,0,0,사회고립 단일취약형
2021,중구,약수동,1102071,0.5420926305069046,0.7321567407928053,0.230098770708107,0.48041080714880063,130,4,1,0,0,0,사회고립 단일취약형
2021,중구,청구동,1102072,0.4798936011900249,0.8979378957535313,0.27385129204309,0.5122898666294743,63,5,1,1,0,0,사회고립+인프라취약형
2021,중구,동화동,1102073,0.36900198578351895,0.7335046876630809,0.3511091920529653,0.45386518344771565,190,3,0,0,0,0,상대적 저위험지역
2021,용산구,후암동,1103051,0.4577697471538625,0.7345770980490698,0.3011580315745992,0.47215748442492217,149,4,1,0,0,0,사회고립 단일취약형
