year,gu,dong,dong_key,total_population,elderly_population,elderly_alone,elderly_ratio,elderly_alone_ratio,elderly_ratio_score,elderly_alone_score,IVI,IVI_rank,IVI_grade
2021,종로구,청운효자동,종로구_청운효자동,12177.0,2165.0,514,0.17779420218444608,0.2374133949191686,0.4255447665615384,0.3734239228952876,0.399484344728413,186,C
2021,종로구,사직동,종로구_사직동,9636.0,1774.0,490,0.18410128684101287,0.2762119503945885,0.45246664002233505,0.4344495815074924,0.4434581107649137,116,B
2021,종로구,삼청동,종로구_삼청동,2739.0,625.0,189,0.22818546914932458,0.3024,0.6406405495783708,0.475640366972477,0.5581404582754239,30,A
2021,종로구,부암동,종로구_부암동,9782.0,1802.0,418,0.1842159067675322,0.23196448390677027,0.45295589667986635,0.36485341352512385,0.4089046551024951,166,B
2021,종로구,평창동,종로구_평창동,18329.0,3435.0,703,0.1874079327841126,0.20465793304221253,0.4665811015377836,0.3219033544180774,0.3942422279779305,194,C
2021,종로구,무악동,종로구_무악동,8297.0,1424.0,291,0.17162829938531998,0.20435393258426968,0.399225529708294,0.32142519671511527,0.3603253632117046,242,C
2021,종로구,교남동,종로구_교남동,10203.0,1624.0,414,0.15916887190042145,0.25492610837438423,0.34604230030718436,0.400969403895693,0.3735058521014387,226,C
2021,종로구,가회동,종로구_가회동,4194.0,865.0,243,0.20624701955174057,0.2809248554913295,0.5469959901419792,0.4418624383518057,0.49442921424689246,60,A
2021,종로구,종로1.2.3.4가동,종로구_종로1.2.3.4가동,8595.0,1960.0,1215,0.2280395578824898,0.6198979591836735,0.6400177254248784,0.9750280846283468,0.8075229050266126,4,A
2021,종로구,종로5.6가동,종로구_종로5.6가동,5476.0,1057.0,446,0.19302410518626734,0.4219489120151372,0.49055380699170587,0.6636770349025042,0.577115420947105,24,A
2021,종로구,이화동,종로구_이화동,7705.0,1360.0,430,0.1765087605451006,0.3161764705882353,0.42005784208849095,0.49730916831564426,0.4586835052020676,95,B
2021,종로구,혜화동,종로구_혜화동,18960.0,2695.0,708,0.14214135021097046,0.262708719851577,0.2733601009653567,0.41321055528132855,0.3432853281233426,273,D
2021,종로구,창신1동,종로구_창신1동,5631.0,1231.0,602,0.21861125910140294,0.4890333062550772,0.5997729085948516,0.7691930596856107,0.6844829841402311,10,A
2021,종로구,창신2동,종로구_창신2동,9051.0,1752.0,587,0.1935697712959894,0.3350456621004566,0.4928829899276741,0.5269882330489343,0.5099356114883042,51,A
2021,종로구,창신3동,종로구_창신3동,6733.0,1201.0,285,0.17837516708747958,0.2373022481265612,0.4280246228590668,0.3732491017933577,0.4006368623262122,184,C
2021,종로구,숭인1동,종로구_숭인1동,6106.0,1192.0,378,0.19521781853914183,0.31711409395973156,0.49991770116963735,0.4987839418755003,0.4993508215225688,57,A
2021,종로구,숭인2동,종로구_숭인2동,10175.0,1656.0,660,0.16275184275184276,0.39855072463768115,0.3613362583128463,0.6268743813618165,0.4941053198373314,61,A
2021,중구,소공동,중구_소공동,3367.0,292.0,79,0.08672408672408673,0.2705479452054795,0.03681078596858684,0.42554075377375616,0.2311757698711715,395,E
2021,중구,회현동,중구_회현동,5432.0,1373.0,578,0.25276141384388806,0.42097596504005824,0.7455432913796404,0.6621467013830885,0.7038449963813644,8,A
2021,중구,명동,중구_명동,3742.0,764.0,215,0.20416889363976484,0.281413612565445,0.5381254824693791,0.44263119693015457,0.49037833969976685,62,A
2021,중구,필동,중구_필동,4679.0,901.0,355,0.19256251335755503,0.3940066592674806,0.4885834962253533,0.6197270899589424,0.5541552930921478,32,A
2021,중구,장충동,중구_장충동,5301.0,861.0,267,0.1624221844934918,0.31010452961672474,0.3599291077195226,0.4877587045857352,0.4238439061526289,138,B
2021,중구,광희동,중구_광희동,6340.0,1123.0,443,0.17712933753943216,0.39447907390917186,0.422706783116527,0.6204701437735496,0.5215884634450383,46,A
2021,중구,을지로동,중구_을지로동,1914.0,472.0,274,0.24660397074190177,0.5805084745762712,0.7192601648544343,0.9130729625598231,0.8161665637071287,2,A
2021,중구,신당동,중구_신당동,9095.0,1471.0,561,0.1617372182517867,0.3813732154996601,0.35700532034576304,0.5998561381406478,0.4784307292432054,74,A
2021,중구,다산동,중구_다산동,14274.0,2762.0,713,0.19349866890850498,0.25814627081824765,0.4925794884554649,0.406034348493941,0.44930691847470294,111,B
2021,중구,약수동,중구_약수동,16889.0,3823.0,1097,0.22636035289241518,0.2869474234894062,0.6328500169321031,0.45133524408170617,0.5420926305069046,36,A
2021,중구,청구동,중구_청구동,13818.0,2721.0,783,0.1969170646982197,0.28776185226019846,0.5071709556547835,0.45261624672526624,0.4798936011900249,72,A
2021,중구,신당5동,중구_신당5동,10708.0,1824.0,586,0.17033993276055287,0.32127192982456143,0.39372611989666567,0.5053237387556557,0.4495249293261607,109,B
2021,중구,동화동,중구_동화동,10433.0,1894.0,357,0.18153934630499377,0.18848996832101372,0.4415309632904587,0.2964730082765792,0.36900198578351895,233,C
2021,중구,황학동,중구_황학동,13444.0,2034.0,649,0.1512942576614103,0.3190757128810226,0.31242940629370114,0.501869342482587,0.407149374388144,170,B
2021,중구,중림동,중구_중림동,12351.0,2077.0,596,0.1681645210914096,0.28695233509870005,0.3844403466954391,0.4513429694773641,0.4178916580864016,147,B
2021,용산구,후암동,용산구_후암동,17308.0,3026.0,967,0.17483244742315693,0.3195637805684071,0.4129024775727075,0.5026370167350175,0.4577697471538625,97,B
2021,용산구,용산2가동,용산구_용산2가동,10775.0,2041.0,586,0.18941995359628772,0.2871141597256247,0.4751694387261024,0.4515975009751671,0.4633834698506347,88,B
2021,용산구,남영동,용산구_남영동,7825.0,1543.0,981,0.19718849840255592,0.6357744653272845,0.5083295739767251,1.0,0.7541647869883625,6,A
2021,용산구,청파동,용산구_청파동,20076.0,3295.0,1037,0.16412631998406058,0.31471927162367225,0.36720323238017344,0.4950171621970706,0.431110197288622,130,B
2021,용산구,원효로1동,용산구_원효로1동,16577.0,1980.0,546,0.11944260119442601,0.27575757575757576,0.17647019350144832,0.43373490254224195,0.3051025480218451,323,D
2021,용산구,원효로2동,용산구_원효로2동,13875.0,2302.0,547,0.16590990990990992,0.237619461337967,0.37481650933843863,0.37374804163555864,0.37428227548699866,225,C
2021,용산구,효창동,용산구_효창동,10156.0,1489.0,327,0.14661283970066954,0.2196104768300873,0.29244671241548575,0.34542198343407204,0.3189343479247789,304,D
2021,용산구,용문동,용산구_용문동,11985.0,2148.0,507,0.17922403003754694,0.2360335195530726,0.431648005479035,0.37125353789030685,0.4014507716846709,183,C
2021,용산구,한강로동,용산구_한강로동,23411.0,3239.0,907,0.138353765323993,0.28002469898116705,0.25719274526908176,0.44044659584907314,0.3488196705590775,266,D
2021,용산구,이촌1동,용산구_이촌1동,26632.0,4342.0,864,0.16303694803244217,0.19898664210041456,0.3625532339371248,0.312983067034597,0.3377681504858609,282,D
2021,용산구,이촌2동,용산구_이촌2동,8374.0,1793.0,445,0.21411511822307142,0.24818739542665924,0.5805810723694841,0.3903701846517178,0.48547562851060094,65,A
2021,용산구,이태원1동,용산구_이태원1동,8126.0,1393.0,398,0.17142505537779965,0.2857142857142857,0.3983579800002953,0.4493956604048347,0.423876820202565,137,B
2021,용산구,이태원2동,용산구_이태원2동,10604.0,1851.0,521,0.17455677102980008,0.2814694759589411,0.4117257492771146,0.4427190636132988,0.4272224064452067,134,B
