기준연도,자치구명,행정동코드,행정동명,convenience_count,grocery_count,pharmacy_count,medical_count,total_infra_count,infra_score,CDI,CDI_rank,CDI_grade
2021,종로구,11110630,종로5.6가동,23.0,56.0,29.0,71.0,179.0,0.1854,0.8146,384,1
2021,강남구,11680580,삼성1동,53.0,32.0,17.0,82.0,184.0,0.1866,0.8134,385,1
2021,광진구,11215710,화양동,59.0,45.0,17.0,57.0,178.0,0.1881,0.8119,386,1
2021,중랑구,11260565,면목본동,30.0,113.0,18.0,64.0,225.0,0.1894,0.8106,387,1
2021,동대문구,11230660,장안2동,37.0,89.0,20.0,67.0,213.0,0.1943,0.8057,388,1
2021,강남구,11680590,삼성2동,53.0,45.0,16.0,90.0,204.0,0.1952,0.8048,389,1
2021,강남구,11680630,대치4동,53.0,39.0,19.0,87.0,198.0,0.1992,0.8008,390,1
2021,용산구,11170625,한강로동,43.0,59.0,27.0,56.0,185.0,0.2016,0.7984,391,1
2021,관악구,11620595,청룡동,46.0,61.0,25.0,58.0,190.0,0.2022,0.7978,392,1
2021,송파구,11710642,문정2동,59.0,55.0,18.0,70.0,202.0,0.2039,0.7961,393,1
2021,강서구,11500630,방화1동,42.0,103.0,19.0,72.0,236.0,0.209,0.791,394,1
2021,구로구,11530540,구로3동,72.0,54.0,16.0,64.0,206.0,0.2128,0.7872,395,1
2021,구로구,11530530,구로2동,31.0,122.0,27.0,48.0,228.0,0.2133,0.7867,396,1
2021,중구,11140540,회현동,39.0,144.0,17.0,65.0,265.0,0.2166,0.7834,397,1
2021,은평구,11380570,대조동,37.0,85.0,24.0,97.0,243.0,0.2211,0.7789,398,1
2021,동대문구,11230650,장안1동,54.0,58.0,29.0,53.0,194.0,0.2212,0.7788,399,1
2021,서초구,11650520,서초2동,36.0,51.0,27.0,120.0,234.0,0.2235,0.7765,400,1
2021,중랑구,11260655,망우본동,41.0,104.0,27.0,68.0,240.0,0.2296,0.7704,401,1
2021,강동구,11740610,천호2동,46.0,67.0,26.0,102.0,241.0,0.2334,0.7666,402,1
2021,송파구,11710600,석촌동,46.0,71.0,29.0,84.0,230.0,0.2342,0.7658,403,1
2021,강서구,11500540,화곡1동,59.0,67.0,27.0,76.0,229.0,0.2405,0.7595,404,1
2021,금천구,11545670,시흥1동,36.0,134.0,25.0,83.0,278.0,0.2409,0.7591,405,1
2021,노원구,11350695,상계6.7동,25.0,36.0,33.0,163.0,257.0,0.2418,0.7582,406,1
2021,송파구,11710650,잠실본동,51.0,75.0,25.0,120.0,271.0,0.2522,0.7478,407,1
2021,강남구,11680650,역삼2동,54.0,56.0,30.0,106.0,246.0,0.2532,0.7468,408,1
2021,서초구,11650530,서초3동,70.0,45.0,28.0,102.0,245.0,0.2624,0.7376,409,1
2021,강서구,11500603,가양1동,74.0,59.0,24.0,101.0,258.0,0.2633,0.7367,410,1
2021,서대문구,11410585,신촌동,82.0,51.0,31.0,60.0,224.0,0.2681,0.7319,411,1
2021,강남구,11680531,논현2동,64.0,36.0,29.0,158.0,287.0,0.2837,0.7163,412,1
2021,강동구,11740685,길동,49.0,113.0,33.0,107.0,302.0,0.2861,0.7139,413,1
2021,강서구,11500611,발산1동,44.0,148.0,35.0,95.0,322.0,0.2966,0.7034,414,1
