year,gu,dong,dong_key,total_population,elderly_population,elderly_alone,elderly_ratio,elderly_alone_ratio,elderly_ratio_score,elderly_alone_score,care_shortage_score,경로당_per_1000eld,IVI,IVI_rank,IVI_grade,IVI_v2,IVI_v2_rank,IVI_v2_grade
2021,종로구,청운효자동,종로구_청운효자동,12177.0,2165.0,514,0.177794202184446,0.2374133949191686,0.4255447665615384,0.3734239228952876,0.6011228594518383,2.300668631821123,0.399484344728413,186,C,0.45997589914544057,192,3
2021,종로구,사직동,종로구_사직동,9636.0,1774.0,490,0.1841012868410128,0.2762119503945885,0.452466640022335,0.4344495815074924,0.6011228594518383,2.300668631821123,0.4434581107649137,116,B,0.49075753537099104,150,4
2021,종로구,삼청동,종로구_삼청동,2739.0,625.0,189,0.2281854691493245,0.3024,0.6406405495783708,0.475640366972477,0.6011228594518383,2.300668631821123,0.5581404582754239,30,A,0.5710351786283482,52,5
2021,종로구,부암동,종로구_부암동,9782.0,1802.0,418,0.1842159067675322,0.2319644839067702,0.4529558966798663,0.3648534135251238,0.6011228594518383,2.300668631821123,0.4089046551024951,166,B,0.466570116407298,181,3
2021,종로구,평창동,종로구_평창동,18329.0,3435.0,703,0.1874079327841126,0.2046579330422125,0.4665811015377836,0.3219033544180774,0.6011228594518383,2.300668631821123,0.3942422279779305,194,C,0.4563064174201028,199,3
2021,종로구,무악동,종로구_무악동,8297.0,1424.0,291,0.1716282993853199,0.2043539325842696,0.399225529708294,0.3214251967151152,0.6011228594518383,2.300668631821123,0.3603253632117046,242,C,0.4325646120837447,240,3
2021,종로구,교남동,종로구_교남동,10203.0,1624.0,414,0.1591688719004214,0.2549261083743842,0.3460423003071843,0.400969403895693,0.6011228594518383,2.300668631821123,0.3735058521014387,226,C,0.4417909543065585,220,3
2021,종로구,가회동,종로구_가회동,4194.0,865.0,243,0.2062470195517405,0.2809248554913295,0.5469959901419792,0.4418624383518057,0.6011228594518383,2.300668631821123,0.4944292142468924,60,A,0.5264373078083762,102,4
2021,종로구,종로1.2.3.4가동,종로구_종로1.2.3.4가동,8595.0,1960.0,1215,0.2280395578824898,0.6198979591836735,0.6400177254248784,0.9750280846283468,0.6011228594518383,2.300668631821123,0.8075229050266126,4,A,0.7456028913541803,4,5
2021,종로구,종로5.6가동,종로구_종로5.6가동,5476.0,1057.0,446,0.1930241051862673,0.4219489120151372,0.4905538069917058,0.6636770349025042,0.6011228594518383,2.300668631821123,0.577115420947105,24,A,0.584317652498525,39,5
2021,종로구,이화동,종로구_이화동,7705.0,1360.0,430,0.1765087605451006,0.3161764705882353,0.4200578420884909,0.4973091683156442,0.6011228594518383,2.300668631821123,0.4586835052020676,95,B,0.5014153114769988,137,4
2021,종로구,혜화동,종로구_혜화동,18960.0,2695.0,708,0.1421413502109704,0.262708719851577,0.2733601009653567,0.4132105552813285,0.6011228594518383,2.300668631821123,0.3432853281233426,273,D,0.42063658752189126,260,2
