기준연도,자치구명,행정동명,행정동코드,rain_days,heavy_rain_days,total_rainfall,avg_rainfall,max_daily_rainfall,flood_trace_count,flood_trace_area,avg_flood_depth,max_flood_depth,flood_trace_flag,flood_pred_count,flood_pred_level_max,flood_pred_level_mean,flood_pred_weighted_score,flood_pred_flag,rain_exposure_score,flood_trace_score,flood_prediction_score,RII,RII_rank,RII_grade
2019,종로구,사직동,1101053,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,1.0,0.0,0.0,0.4642857142857143,0.15476190476190477,142,3
2019,종로구,삼청동,1101054,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16666666666666669,0.05555555555555556,273,1
2019,종로구,부암동,1101055,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,10.0,1.0,0.0,0.0,0.6309523809523809,0.21031746031746032,97,4
2019,종로구,평창동,1101056,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,1.0,0.0,0.0,0.4642857142857143,0.15476190476190477,142,3
2019,종로구,무악동,1101057,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388,1
2019,종로구,교남동,1101058,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388,1
2019,종로구,가회동,1101060,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,10.0,1.0,0.0,0.0,0.6309523809523809,0.21031746031746032,97,4
2019,종로구,종로1·2·3·4가동,1101061,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,1.0,0.0,0.0,0.4642857142857143,0.15476190476190477,142,3
2019,종로구,종로5·6가동,1101063,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,3.0,1.0,0.0,0.0,0.3095238095238095,0.10317460317460315,206,2
2019,종로구,이화동,1101064,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,3.0,1.0,0.0,0.0,0.3095238095238095,0.10317460317460315,206,2
2019,종로구,창신1동,1101067,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,3.0,1.0,0.0,0.0,0.3095238095238095,0.10317460317460315,206,2
2019,종로구,창신2동,1101068,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16666666666666669,0.05555555555555556,273,1
